date,bet_type,suspended,open,label,participant,probability,odds_american,odds_decimal,odds_fractional,subcategory_id,bet_type_id,criterion_id,offer_id
2022-08-01,Finals Winner,FALSE,TRUE,BOS Celtics,BOS Celtics,0.18181818181818182,450,5.5,9/2,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,LA Clippers,LA Clippers,0.14285714285714285,600,7,6/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,GS Warriors,GS Warriors,0.14285714285714285,600,7,6/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,MIL Bucks,MIL Bucks,0.125,700,8,7/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,PHO Suns,PHO Suns,0.09523809523809523,950,10.5,19/2,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,MIA Heat,MIA Heat,0.06666666666666667,1400,15,14/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,PHI 76ers,PHI 76ers,0.0625,1500,16,15/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,LA Lakers,LA Lakers,0.058823529411764705,1600,17,16/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,BKN Nets,BKN Nets,0.058823529411764705,1600,17,16/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,DEN Nuggets,DEN Nuggets,0.05,1900,20,19/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,MEM Grizzlies,MEM Grizzlies,0.047619047619047616,2000,21,20/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,DAL Mavericks,DAL Mavericks,0.047619047619047616,2000,21,20/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,MIN Timberwolves,MIN Timberwolves,0.03225806451612903,3000,31,30/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,NO Pelicans,NO Pelicans,0.024390243902439025,4000,41,40/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,TOR Raptors,TOR Raptors,0.024390243902439025,4000,41,40/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,ATL Hawks,ATL Hawks,0.021739130434782608,4500,46,45/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,CHI Bulls,CHI Bulls,0.0196078431372549,5000,51,50/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,POR Trail Blazers,POR Trail Blazers,0.012345679012345678,8000,81,80/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,CLE Cavaliers,CLE Cavaliers,0.01098901098901099,9000,91,90/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,NY Knicks,NY Knicks,0.009900990099009901,10000,101,100/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,CHA Hornets,CHA Hornets,0.006622516556291391,15000,151,150/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,UTA Jazz,UTA Jazz,0.004975124378109453,20000,201,200/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,WAS Wizards,WAS Wizards,0.002849002849002849,35000,351,350/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,OKC Thunder,OKC Thunder,0.0014265335235378032,70000,701,700/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,SAC Kings,SAC Kings,0.0014265335235378032,70000,701,700/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,DET Pistons,DET Pistons,0.0014265335235378032,70000,701,700/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,IND Pacers,IND Pacers,9.99000999000999e-4,100000,1001,1000/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,SA Spurs,SA Spurs,9.99000999000999e-4,100000,1001,1000/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,ORL Magic,ORL Magic,4.997501249375312e-4,200000,2001,2000/1,4596,0,8,112583492
2022-08-01,Finals Winner,FALSE,TRUE,HOU Rockets,HOU Rockets,4.997501249375312e-4,200000,2001,2000/1,4596,0,8,112583492
